id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
01219@1942-01-01,01219,Lompnas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,160,0
01220@1942-01-01,01220,Lompnes,1942-01-01 00:00:00,1942-07-31 23:59:59,01185@1942-08-01,,NULL,310
01221@1942-01-01,01221,Lompnieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,118,0
01222@1942-01-01,01222,Longecombe,1942-01-01 00:00:00,1964-08-31 23:59:59,01185@1942-08-01,,NULL,310
01223@1942-01-01,01223,Loyes,1942-01-01 00:00:00,1973-12-31 23:59:59,01450@1974-01-01,,NULL,330
01224@1942-01-01,01224,Loyettes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3115,0
01225@1942-01-01,01225,Lurcy,1942-01-01 00:00:00,9999-12-31 23:59:59,,,403,0
01226@1942-01-01,01226,Luthézieu,1942-01-01 00:00:00,1974-10-31 23:59:59,01036@1974-11-01,,NULL,330
01227@1942-01-01,01227,Magnieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,443,0
01228@1942-01-01,01228,Maillat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,648,0
01229@1942-01-01,01229,Malafretaz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1134,0
01230@1942-01-01,01230,Mantenay-Montlin,1942-01-01 00:00:00,9999-12-31 23:59:59,,,309,0
01231@1942-01-01,01231,Manziat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1948,0
01232@1942-01-01,01232,Marboz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2196,0
01233@1942-01-01,01233,Marchamp,1942-01-01 00:00:00,9999-12-31 23:59:59,,,128,0
01234@1942-01-01,01234,Marignieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,164,0
01235@1942-01-01,01235,Marlieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,995,0
01236@1942-01-01,01236,Marsonnas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,998,0
01237@1942-01-01,01237,Martignat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1584,0
01238@1942-01-01,01238,Massieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2448,0
01239@1942-01-01,01239,Massignieu-de-Rives,1942-01-01 00:00:00,9999-12-31 23:59:59,,,646,0
01240@1942-01-01,01240,Matafelon,1942-01-01 00:00:00,1972-12-31 23:59:59,01240@1973-01-01,,NULL,110
01241@1942-01-01,01241,Meillonnas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1303,0
01242@1942-01-01,01242,Mérignat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,125,0
01243@1942-01-01,01243,Messimy,1942-01-01 00:00:00,1983-01-13 23:59:59,01243@1983-01-14,,NULL,100
01244@1942-01-01,01244,Meximieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,7424,0
01245@1942-01-01,01245,Meyriat,1942-01-01 00:00:00,1973-12-31 23:59:59,01245@1974-01-01,,NULL,110
01246@1942-01-01,01246,Mézériat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2140,0
01247@1942-01-01,01247,Mijoux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,360,0
