siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3307; Verneuil-en-Bourbonnais;260;253
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3114;La Ferté-Hauterive;278;270
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3148; Loriges;307;299
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3059; Chareil-Cintrat;343;335
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3160; Marcenat;367;354
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3115; Fleuriel;371;360
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3049; Cesset;374;366
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3062; Charroux;387;374
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3227; Saint-Didier-la-Forêt;391;375
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3281;Le Theil;398;393
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3149; Louchy-Montfand;466;451
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3038; Bransat;523;511
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3176; Monétay-sur-Allier;545;529
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3083; Contigny;621;593
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3242; Saint-Loup;601;594
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3204; Paray-sous-Briailles;624;608
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3112; Étroussat;666;650
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3267; Saulcet;668;653
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3018; Bayet;693;663
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3053; Chantelle;1089;1056
240300699;CC en Pays Saint Pourcinois;CC;TPU;16218;15743;475;27;3254; Saint-Pourçain-sur-Sioule;5202;5046
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3137; Langy;236;233
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3266; Sanssat;327;282
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3179; Montaigu-le-Blin;320;308
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3232; Saint-Félix;321;316
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3079; Cindré;324;317
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3291; Trézelles;389;379
